검사분류코드,검사분류명,검사항목코드,검사항목명,참고치,단위,기본검체,검체용기 이미지,검체용기,주의사항,시행일,접수마감시간,보고소요시간,검사방법,검사의의,비고,동의어,오더가능여부,시행여부
L71,외주검사,L7147,Chlamidia Trachomatis Ab IgG(외주),Negative: <9.0 Equivocal : 9.0~11.0 Positive: >11.0,Index,Serum 4 ml,이미지,14. Serum-4.0,냉장,"화,금",검사 시행일 전날 오후 3시,3일,EIA,"Chlamydia pneumoniae 는 사람을 자연 숙주로 하여 사람에서 사람으로 감염해서 기관지염이나 폐렴 등의 급 성 호흡기 감염증을 일으키는 병원체이다. 최근에는 클라미디아 감염과 동맥경화증 질환의 관련이 주목 받 고 있으며 심근경색 등의 배경에 존재하는 지속성 감염에 관심이 모아지고 있다. 이 검사는 급성 호흡기 감 염증을 일으키는 병원체인 C. pneumoniae 에 대한 항체 검사로서 성인에서는 약 반수가 이 항체를 보유하고 있다. 감염되면 우선 IgM 항체가 상승하고, 이어서 IgG 항체가 상승한다. IgG 항체는 페렴, 기관지염, 인후 염, 불명열, 심근염, 심내막염, atherosclerosis 와 관련이 있다.",녹십자의뢰 외주검사 (☏.578-0131) [2008.10.28 접수분]참고치변경 .기존 : Negative .변경 : Negative : <9 Equivocal : 9~11 Positive : >11(Index),,예,시행중
L71,외주검사,L7351,Chlamydia pneumoniae Ab. IgG(외주),Negative : < 9.0 Equivocal: 9 - 11 Positive : > 11,Index,Serum 4 ml,이미지,14. Serum-4.0,냉장,"화,금",검사 시행일 전날 오후 3시,3일,EIA,"폐렴, 기관지염, 인후염, 불명열, 심금염, 심내막염, atherosclearosis",녹십자의뢰 외주검사 (☏.578-0131) [2007.8.17 접수분 부터] 참고치 변경 변경사유: 시약변경 Negative : < 0.9 ---> < 9.0 Equivocal: 0.9 ~ 1.1 ---> 9 ~ 11 Positive : > 1.1 ---> > 11 Index,C. pneumoniae IgG,예,시행중
L71,외주검사,L7352,Chlamydia pneumoniae Ab. IgM(외주),Negative: <9.0 Equivocal : 9.0~11.0 Positive: >11.0,Index,Serum 4 ml,이미지,14. Serum-4.0,냉장,"월, 화, 수, 목, 금",검사 시행일 전날 오후 3시,3일,EIA,"폐렴, 기관지염, 인후염, 불명열, 심금염, 심내막염, atherosclearosis",녹십자의뢰 외주검사 (☏.578-0131),C. pneumoniae IgM,예,시행중
L71,외주검사,L7350,Chlamydia pneumoniae PCR(외주),Negative,-,pharyngonasal swab,이미지,UTM swab,냉장보관,"월,수,금",검사 시행일 전날 오후 3시,4일,PCR,"폐렴, 기관지염, 인후염을 유발",녹십자의뢰 외주검사 (☏.578-0131),C. pneumoniae PCR,예,시행중
L25,분자유전학,L251201,Chlamydia trachomatis PCR,Negative,,"Endocervical swab, urethral swab, urine",이미지,,냉장보관,화,시행일 전일,3일,"PCR, hybridization","요도염, 자궁경관염, 질염, 골반내염증성질환, 불임 등의 성감염증 (sexually transmitted infections)의 가장 흔한 원인균인 C. trachomatis를 endocervical swab, urethral swab 등의 검체로부터 검출함.",[2012.1.10] 신규등록,STD,예,시행중
L31,일반화학(2),L3103,Chloride (24hrs Urine),110-250,mmol/d,24hr Urine,이미지,Medical Tube Urine 10mL,24시간 Volume을 적어주세요.,(본원) 매일,매일,월-금,(본원) 월-금 : 16시까지 접수 / 토요일 : 11시까지 접수,24시간 검사 가능,월-금 : 17시까지 접수,"(본원, 암병원) 접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고",접수 후 2시간 이내,L-30과 동일 Indirect ISE
L30,일반화학(1),L3095,Chloride (Body Fluid Except CSF),,mmol/L,SST Body Fluid,이미지,SST Body Fluid 5mL,,(본원) 매일,매일,(본원) 24시간 검사 가능,24시간 검사 가능,(본원) 접수 후 2시간 이내,접수 후 2시간 이내,indirect ISE,,"시행처: 본원자동화검사실, 소아진단검사의학과"
L31,일반화학(2),L31030,Chloride (random urine),,mmol/L,Random Urine,이미지,Medical Tube Urine 10mL,,(본원) 매일,매일,월-금,(본원) 월-금 : 16시까지 접수 / 토요일 : 11시까지 접수,24시간 검사 가능,월-금 : 17시까지 접수,"(본원, 암병원) 접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고",접수 후 2시간 이내,L-30과 동일 Indirect ISE
L30,일반화학(1),L3045,Chloride (serum),98 - 110,mmol/L,SST blood,이미지,SST blood 5mL,,(본원) 매일,매일,월-금,(본원) 24시간 검사 가능,24시간 검사 가능,월-금 : 17시까지 접수,(본원) 접수 후 2시간 이내,접수 후 2시간 이내,접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고
L30,일반화학(1),L3008,Cholesterol,0 - 240,mg/dL,SST blood,이미지,SST blood 5mL,,(본원) 매일,매일,월-금,(본원) 24시간 검사 가능,24시간 검사 가능,월-금 : 17시까지 접수,(본원) 접수 후 2시간 이내,접수 후 2시간 이내,접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고
L71,외주검사,L7148,Chromium(외주),24hrs urine: 0 - 8 Serum: 0 - 3,ug/day(24hrs urine)ug/l(serum),24hrs urine: 10.0 Serum: 1.0,이미지,Conical tube 중금속 전용용기,냉장 무방부제 SST사용금지,월,오후 3:30,1일,AAS,"Chromium 은 여러 종의 원자가 상태로 존재하고 각각의 생리 작용이 다르다. 생물학적으로 중요한 것은 3가와 6가이다. 3가 Cr 이 6가 또는 다른 상태로 변하는 것은 중요한 변화이지만, 생체 내에서는 6가에서 3가로 전환되고, 요, 담즙에서도 3가로 배설된다. 사람의 체내 총량은 6mg 정도로 추정된다. 이 검사는 Cr 에 대한 노출 측정 목적 검사이다.",녹십자의뢰 외주검사 (☏.578-0131),Cr,예,시행중
L71,외주검사,L74902,Chromogranin A,남 년도별 연령 : 0~999 참고치 : 0~108 여 년도별 연령 : 0~999 참고치 : 0~108,ng/mL,Serum 4 ml,이미지,14. Serum-4.0,,금,검사 시행일 전날 오후 3시,3일,EIA (Enzyme immunoassay),"Serum/plasma CgA는 특정 장기와 관련 없이 또한 호르몬 관련 증상 여부와 상관없이, 모든 NETs 질환에서 일반적으로 증가하는 바이오 생화학 마커로서, 의심 환자에서 NETs를 진단하는데 도움이 되는 필수적인 마커이다.",녹십자 검사코드: N132,,아니오,시행중
L28,염색체검사,L2605,Chromosome breakage test for Fanconi anemia (MMC-stress법),1. 진단기준 A Jean Soulier 기준 (Blood 2005;105: 1329-1336)-아래 4가지 조건을 모두 만족하는 경우 양성으로 판정 1) Mean number of breaks per metaphase: FA 양성 기준 >2.0 2) Ratio of mean number of breaks per metaphase in exposed to non-exposed cells: FA 양성 기준 >10 3) Number of chromosome breaks per aberrant mitosis: FA 양성 기준 >5.0 4) Percentage of mitosis with breaks in cells: FA 양성 기준 >25% 2.진단기준 B The AGT cytogenetics laboratory manual 기준 (1997:156-63) - Mean number of breaks per metaphase: FA 양성 기준 > 1 3.진단기준 C Carmen Esmer 기준 (American journal of medical genetics 2004;124A:35-39) -Ratio of mean number of breaks per metaphase in Pt. to healthy control: FA 양성 기준 >6,,환자: Heparin PB 5-8 mL 비혈연 동성 정상인 Control: Heparin PB 5-8 mL,이미지,,"유전자검사동의서,소견서, 비혈연 동성 검체 필요, 채혈후 1-2시간 이내 검사실의뢰, 냉장보관",월~토,"오후5시,오전 10시",14일,Chromosome breakage test for Fanconi anemia(MMC-stress법),"염색체절단(chromosome breakage) 발현이 정상인에 비해 증가된 환자를 진단하기 위해 시행하는 검사로 절단 발현유도를 위해 mitomycin C 나 diepoxybutane 등을 첨가한다. 검사 시행시 비슷한 연령의 동성 대조군도 같이 검사를 시행해야 한다. 절단된 염색체의 형태로 radila form, ring chromosome, double minute chromosome, chromosome gap, chromtid gap 등이 있어서 이들의 숫자를 정상 대조군과 비교하여 판독한다.",[2009.8.6]검사명 변경 기존 : Chromosome Fanconi anemia analysis 변경 : Chromosome breakage test for Fanconi anemia (MMC-stress법),염색체 절단 검사 ( Fanconi anemia),예,시행중
L28,염색체검사,L2606,Chromosome breakage test for Fanconi anemia(DEB-stress법),1. 진단기준 A Jean Soulier 기준 (Blood 2005;105: 1329-1336)-아래 4가지 조건을 모두 만족하는 경우 양성으로 판정 1) Mean number of breaks per metaphase: FA 양성 기준 >2.0 2) Ratio of mean number of breaks per metaphase in exposed to non-exposed cells: FA 양성 기준 >10 3) Number of chromosome breaks per aberrant mitosis: FA 양성 기준 >5.0 4) Percentage of mitosis with breaks in cells: FA 양성 기준 >25% 2.진단기준 B The AGT cytogenetics laboratory manual 기준 (1997:156-63) - Mean number of breaks per metaphase: FA 양성 기준 > 1 3.진단기준 C Carmen Esmer 기준 (American journal of medical genetics 2004;124A:35-39) -Ratio of mean number of breaks per metaphase in Pt. to healthy control: FA 양성 기준 >6,,환자: Heparin PB 5-8 mL 비혈연 동성 정상인 Control: Heparin PB 5-8 mL,이미지,,"유전자검사동의서,소견서, 비혈연 동성 검체 필요, 채혈후 1-2시간 이내 검사실의뢰, 냉장보관",월~토,"오후5시,오전 10시",14일,Chromosome breakage test for Fanconi anemia(DEB-stress법),"염색체절단(chromosome breakage) 발현이 정상인에 비해 증가된 환자를 진단하기 위해 시행하는 검사로 절단 발현유도를 위해 mitomycin C 나 diepoxybutane 등을 첨가한다. 검사 시행시 비슷한 연령의 동성 대조군도 같이 검사를 시행해야 한다. 절단된 염색체의 형태로 radila form, ring chromosome, double minute chromosome, chromosome gap, chromtid gap 등이 있어서 이들의 숫자를 정상 대조군과 비교하여 판독한다.",[2009.8.6]신규검사 신설,염색체 절단 검사 ( Fanconi anemia),예,시행중
L28,염색체검사,L2601,"Chromosome, constitutional","46, XX 또는 46, XY",,Heparin blood 8 mL,이미지,,"유전자검사동의서,소견서,채혈후 1-2시간 이내 검사실의뢰, 냉장보관",월~토,"오후5시,오전 10시",14일,PHA-stimulated T-lymphocyte culture,"다음의 사항에 해당할 때 검사를 의뢰한다. 1) 형태학적, 발육 또는 지능장애등 다발성 기형을 수반하는 증례 2) 염색체 이상의 보인자로 의심되는 증례 (1) 염색체 이상아 출산의 기왕력이 있는 부모 (2) 불임증 및 습관성 유산의 부부 3) 유산 태아, 태내 사망아 4) 성분화 이상 : 성기 이상, 성기능 부전증, 불임증 5) 염색체 이상 고위험군 태아의 출생전 진단","지방채혈가능 ,채혈후 반드시 냉장상태유지",염색체 검사 (체질성),예,시행중
L28,염색체검사,L2602,"Chromosome, malignancy","46, XX[20] 또는 46, XY[20]",,Heparin BM 5-8 mL,이미지,,"유전자검사 동의서,소견서,채혈후 1-2시간 이내 검사실의뢰, 냉장보관",월~토,"오후5시,오전 10시",14일,High resolution banding technique,"환자의 질환 및 검체 종류에 따라 methotrexate synchronized high resolution culture, direct culture, Short-term culture, thymidine treated unsynchronized culture, BrdU/FdU synchronized culture, FdU synchronized culture 중 2가지 방법으로 배양을 시행하여 악성클론의 염색체 이상 여부를 밝힌다.","지방채혈가능 ,채혈후 반드시 냉장상태유지",염색체 검사 (종양),예,시행중
L31,일반화학(2),L3119,Citrate (24hrs urine),≥150,mg/day,24hrs urine,이미지,,,,,접수후 일주일,,"Citrate 는 inhibitor of calcium salt crystallization 으로 nephrolithiasis 의 위험성 평가에 이용되며, alkalinemia 에서 증가하고 acidemia 에서 감소한다.",Creatinine 함께 의뢰시 Citrate/Creatinine Ratio 보고됨 : 참고치 >0.18 mg/mg [2007.6.7] KIT 변경에 따른 참고치 변경 ≥0.029(20세이상) -> 1.6 ~ 6.4 ============================================================= [2014.3.13]검사중단 / L7262 SCL외주검사로 변경 (검사법:GC-MS) 외주검사로 변경에 의한 참고,사이트레이트,예,시행중
L71,외주검사,L7262,Citrate (24hrs urine)(외주),≥150,mg/day,"24h UR, HCl",이미지,30. 24H Urine 20mL,"24시간 총 뇨량 기록. Toluene이나 6N HCl 첨가 (성인은 20mL, 5세 이하 10mL)",화,검사 시행일 전날 오후 3시,5일,GC/MS,소변 내 citrate는 칼슘과 결합하여 결석 형성을 억제하는 주요한 물질로 소변 내 citrate 농도 감소는 요석 위험 증가를 의미함. 요석 위험 인자 평가 및 칼슘석 또는 신세뇨관산증 치료 추적 검사.,[2014.3.13] 검사시행,Citrate(24hrs urine),예,시행중
L31,일반화학(2),L31190,Citrate (random urine),,mmol/L,Random urine 5 mL,이미지,,,,,보고일: 접수후 일주일,,,Creatinine 함께 의뢰시 Citrate/Creatinine Ratio 보고됨 : 참고치 >0.18 mg/mg ================================================================= [2014.3.13]검사중단 / L72621 SCL외주검사로 변경 (검사법:GC-MS),사이트레이트,예,시행중
L71,외주검사,L72621,Citrate (random urine)(외주),참고치 미설정,mg/dl,소변,이미지,9. Urine 10.0,냉장,화,검사 시행일 전날 오전 11시,5일,GC/MS,소변 내 citrate는 칼슘과 결합하여 결석 형성을 억제하는 주요한 물질로 소변 내 citrate 농도 감소는 요석 위험 증가를 의미함. 요석 위험 인자 평가 및 칼슘석 또는 신세뇨관산증 치료 추적 검사.,[2014.3.13] 검사시행,,예,시행중
L25,분자유전학,L25307,"Citrin deficiency, SLC25A13 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, Sequencing","1. 유전자: SLC25A13 [solute carrier family 25, member 13 (citrin); 7q21.3; GeneID: 10165] 2. 분자진단검사: 상기유전자의 exons 1-18의 5'UTR과 coding region 및 그 flanking region의 염기서열을 direct sequencing법으로 검사함 3. 관련 질환: Citrine deficiency (citrullinemia type II and neonatal intrahepatic cholestasis caused by citrin deficiency(NICCD)) 4. 배경, 의의 Citrine deficiency (citrullinemia type II and neonatal intrahepatic cholestasis caused by citrin deficiency(NICCD))는 상염색체 열성으로 유전되는 질환으로, citrullinemia type II는 보통 20세에서 50세의 성인에서 발병되며, 신경학적 증상(야간의 섬망, 공격적 성향, 망상, 기억력 감퇴, 졸음, 발작, 혼수상태, 사망)을 동반한 고암모니아혈증을 주증상으로 나타남. NICCD는 1세 이전에 발견되는 일과성의 간내 담즙정체증을 주증상으로 나타나며 광범위한 지방간, 간섬유화증, 성장부전, 지혈장애, 용혈성 빈혈, 간부전이 나타나는 질환임. SLC25A13 유전자는 현재까지 알려진 이 질환의 유일한 원인 유전자임. 본 검사로 이 질환이 의심되는 가족성 환자와 산발성 환자의 95% 이상에서 돌연변이가 발견되어 확진이 가능하며, 돌연변이가 발견되는 가족에서 산전 진단도 가능함.",,,예,시행중
L25,분자유전학,L25323,"Citrullinemia type I, ASS1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, Sequencing","1. 유전자: ASS1 [argininosuccinate synthase 1; 9q34.1; GeneID: 445] 2. 분자진단검사: 상기유전자의 exons 1-16의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Citrullinemia type I 4. 배경, 의의:Citrullinemia type I (CTLN1) 은 상염색체 열성으로 유전되는 질환으로, urea cycle의 argininosuccinate synthase 1 효소의 활성도 저하에 의해 citrulline이 축적되는 대사이상 질환임. Classic citrullinemia type I과 late-onset citrullinemia type I으로 구분할 수 있음. Classic citrullinemia type I은 neonatal onset으로 조기에 진단되지 않을 경우 출생 후 수일 내 암모니아혈증 과 그로인한 뇌압상승 증상을 나타내며 치료하지 않을 경우 평균 수명이 17일로 매우 치명적임. Late onset의 CTLN1은 증상은 경하게 발현되나 암모니아혈증에 의한 신경학적 증상을 나타내며 즉각적인 진단 과 치료가 이루어지지 않을 경우 이차적인 뇌압상승에 의해 신경학적 결손이 발생하고 사망에 이르게 됨 ASS1 유전자는 CTLN1의 유일한 원인 유전자로 알려져 있으며 본 검사는 ASS1 유전자의 전체 유전자의 염 기서열검사로 돌연변이 유무를 검사하여 약 96%에서 원인 돌연변이를 검출하여 확진이 가능함. 또한 환 자의 가족에서 carrier test가 가능하며, 질환이 의심되는 경우 산전진단도 가능함.",[2010.5.18]신규등록,,예,시행중
L30,일반화학(1),L3022,CK (CPK),20 - 270,IU/L,SST blood,이미지,SST blood 5mL,,(본원) 매일,매일,월-금,(본원) 24시간 검사 가능,24시간 검사 가능,월-금 : 17시까지 접수,(본원) 접수 후 2시간 이내,접수 후 2시간 이내,접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고
L71,외주검사,L7361,CK isoenzyme(외주),별지보고서 참조,%,Serum 4 ml,이미지,14. Serum-4.0,냉장,"월,수,금",검사 시행일 전날 오후 3시,5일,Agarose EP,"BB 증가: 악성질환, 뇌손상 MB 증가: 심근경색 MM 증가: 근이영양증, 다발성근염, 수술, 손상후",녹십자의뢰 외주검사 (☏.578-0131),"CPK, CK isoenzyme EP",예,시행중
L30,일반화학(1),L3084,CK-MB,0 - 6.6,ng/mL,SST blood,이미지,SST blood 5mL,,(본원) 매일,(본원) 24시간 검사 가능,(본원) 접수 후 2시간 이내,Chemiluminescent Microparticle Immunoasay (CMIA),"CK-MB는 심근조직에 존재하는 creatin kinase중의 중요한 부분으로 분자량 84,000의 효소이다. CK-MB는 또한 매우 낮은 level이긴 하지만 여러 가지의 다른 조직에도 존재한다. 주요한 근육 외상이 없을 경우에, serum에서의 CK-MB 출현은 심장 손상과 따라서 심근경색(MI)의 지침이 될 수 있다. MI는 지속된 ischemia에 의해서 myocardial cell이 죽는 것을 의미한다. 크고 일시적인 CK-MB의 상승과 감소는 심근손상의 시점을 명확하게 하고, 경색의 정도를 추정하며 reperfusion 의 비침습성 평가에 기여한다.",시행처: 자동화검사실,"CKMB, cardiac, creatine kinase MB",예,시행중
L26,FISH검사,L2865,"CLL (ATM, CEP12, 13q, p53, 11;14) panel, FISH",,%,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",7일,간기핵 FISH,"CLL 진단에서 CEP12, p53(17p13), IGH/CCND1,t(11;14)의 유전자 변이를 검색함.","[CLL panel A, FISH] L2647 CEP12 L2652 p53(17p13) L2656 IGH/CCND1,t(11;14)",Chronic lymphocytic leukemia,예,시행중
L71,외주검사,L7149,Clonazepam(외주),남 년도별 연령 : 0~999 참고치 : 15~70 여 년도별 연령 : 0~999 참고치 : 15~70,ng/ml,Serum 4 ml,이미지,14. Serum-4.0,냉장,화,검사 시행일 전날 오후 3시,19일,LC-MS/MS,"Clonazepam 은 benzodiazepine 계 약물 중 항불안, 근육이완, 진정 작용에 비해 항경련 작용이 특히 강력한 약물이다. 흔한 부작용으로는 피로, 졸음, 안진, 운동실조, 구음장애, 혼수 등이 있다.",녹십자의뢰 외주검사 (☏.578-0131) [2004.6.7 이후 접수검체부터 적용] 검사방법변경: HPLC -> LC/MS-MS 참고치변경 : 10.0 - 70.0 -> 25 - 75 ng/mL (3-4주후 보고에서 2주후 보고로 단축) [2006.3.2 이후 접수검체부터 적용] 참고치변경 : 25 - 75 -> 15 - 70 ng/mL (14일후 보고에서 3일후 보고로 단축),Rivotril,예,시행중
L72,분당의뢰검사,L74451,Clozapine/Norclozapine(외주),유효치료농도:10-70 위험농도:>80,ng/ml,Serum 4 ml,이미지,14. Serum-4.0,냉장,목,검사 시행일 전날 오전 11시,15일,LC MS/MS,"정신이상, 정동장애, 치매, 신경통 및 녹내장을 포함한 신경정신성 질환의 치료 방법에 관한 것이다. 상기 치료는 신경정신성 질환이 있는 환자에 N-데스메틸클로자핀을 치료학적 유효량으로 투여함으로써 실시된다.",[2010.10.25] 분당서울대병원 외주검사,,예,시행중
L71,외주검사,L723221,CMA(AF),,,Amniotic 15mL,이미지,conical tube,"1. 산전 CMA 검사 의뢰서, 유전자 검사 동의서 필수 작성 및 출력 2. 검체와 소견서, 유전자검사 동의서를 진단검사의학과 접수실로 운송 3. 무균적 검체 채취 4. 1일 이상 방치 시 냉장 보관 5. 임신주수 16주부터 가능","월, 화, 수, 목, 금",검사 시행 전날 오후 3시,15일 (검사가능일이 당일이 아닌 경우 2일 추가 소요),Microarray,"전체 유전체에 걸쳐 유전자의 결실/중복을 검사하며, 기존의 염색체 분석으로 발견이 불가능한 대부분의 미세결실/중복 증후군뿐 아니라 유전체의 새로운 미세이상을 발견할 수 있으며, uniparental disomy로 인해 발생하는 loss of heterozygosity (LOH) 또한 검출할 수 있다.",,,예,시행중
L25,분자유전학,L25119,"CMT, GJB1 (cx32) sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, sequencing",". 유전자: GJB1 (gap junction protein, beta 1, 32kDa, connexin 32, Xq13.1) . DNA 검사: 염기서열검사 (전체 exon) . 관련 질환: CMT(Charcot-Marie-Tooth hereditary neuropathy) . 배경, 의의: CMT 중 X 염색체 유전형 CMTX 의 원인인 GJB1 유전자의 돌연변이를 검사함.",,,예,시행중
L25,분자유전학,L25118,"CMT, MPZ sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, sequencing",". 유전자: MPZ (myelin protein zero, 1q12) . DNA 검사: 염기서열검사 (전체 exon) . 관련 질환: CMT(Charcot-Marie-Tooth hereditary neuropathy) . 배경, 의의: CMT 중 특히 CMT1B 형의 원인 돌연변이를 검사함.",,,예,시행중
L25,분자유전학,L25117,"CMT/HNPP, PMP22 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, sequencing",". 유전자: PMP22 (peripheral myelin protein 22, 17p12-p11.2) . DNA 검사: 염기서열검사 (전체 exon) . 관련 질환: CMT(Charcot-Marie-Tooth hereditary neuropathy) . 배경, 의의: PMP22 중복이 없는 CMT1에서 PMP22 유전자의 돌연변이를 검사함.",,,예,시행중
L25,분자유전학,L25120,"CMT1A/HNPP, PMP22 del/dup (MLPA)",Negative,,EDTA blood 6 mL,이미지,,,월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),Gene dose test (MLPA),". 유전자: PMP22 (peripheral myelin protein 22, 17p12-p11.2) . DNA 검사: PMP22 유전자의 copy 수를 검사함 . 관련 질환: CMT/HNPP(Charcot-Marie-Tooth hereditary neuropathy/Hereditary neuropathy with liability to pressure palsies) . 배경, 의의: CMT/HNPP 의 가장 중요한 원인은 염색체 17p12 부위의 반복구조에 의해 발생한 PMP22 유전자의 중복, 결실임. 한 염색체에서 중복이 되면 PMP22 유전자는 전체 3 copies가 되어 CMT1A를 일으키고, 결실이 되면 PMP22 유전자는 전체 1 copies가 되어 HNPP를 일으킨다. 본 검사는 PMP 유전자의 수를 정량한다.","[2013.3.18] 검사명 변경 기존 : CMT1A/HNPP, PMP22 del/dup test 변경 : CMT1A/HNPP, PMP22 del/dup (MLPA)",,예,시행중
L25,분자유전학,L25326,"CMT2, MFN2 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, sequencing","1. 유전자: MFN2 [mitofusin 2; 1p36.22; GeneID: 9927] 2. 분자진단검사: 상기유전자의 exons 1-19의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Charcot-Marie-Tooth neuropathy type 2 (CMT2) 4. 배경, 의의 Charcot-Marie-Tooth neuropathy type 2 (CMT2)는 원위부의 근력 약화와 근위축과 경증의 감각신경 손상을 특징으로 하는 축색돌기성 (비탈수초성) 말초 신경병증임. 보통 신경전달속도는 정상이거나 거의 정상이며 말초신경은 비대해지지 않음. CMT2는 임상적으로 CMT1과 유사하나 덜 심한 양상을 보임. CMT2의 원인 유전자는 현재까지 12종이 알려져 있으며, 이중 20% 정도를 차지하는 것으로 알려진 CMT2A2의 원인 유전자는 MFN2이며 상염색체 우성으로 유전됨. 이 검사를 통해 질환이 의심되는 가족성 환자와 산발성 환자에서 확진이 가능함. 특히 가계도상 두 명 이상의 환자가 있는 경우 효율적 검사를 위해 협의바람.",[2010.8.23]검사 신설,,예,시행중
L71,외주검사,L7150,"CMV Ab IgG (EIA, Titer)(외주)",Non-Reactive: < 6.0 Reactive : ≥ 6.0,AU/ml,Plasma: 0.5 Serum: 0.5,이미지,SST EDTA,냉장,월-금,오후 3:30,1일,CIA,"혈액, 장기 공여자, recipient 의 CMV 의 과거 또는 현재 감염 여부 판단. Monospot-negative mononucleosis 의 감별 진단에 이용. 급성기의 너무 이른 시기에 얻어진 혈청에서는 IgG 나 IgM 이 나타나지 않을 수 있으므로 negative 인 결과라도 최근의 감염을 배제하지는 못함.","녹십자의뢰 외주검사 (☏.578-0131) [2007.7.2 접수일 기준] 검사방법, 참고치 변경 검사방법: ELFA -> MEIA 참고치: <변경전> <변경후> Negative(< 4), Equivocal(4≤ ~ <6), Positive(≥6) ---> Negative: < 15 [2007.11.17 접수일 기준] 시약단종으로 인해",,예,시행중
L21,특수혈액검사,L2125,CMV Antigenemia Assay,,,EDTA 6mL,이미지,,"채취 후 6시간 이상 경과한 검체나 호중구감소 환자(<1,500/ul)의 경우는 위음성 결과를 보일 수 있습니다. 검체채취 후 6시간 이내에 검사실에 도착하도록 하여 주십시요.","월, 화, 수, 목, 금","월~금, 13시30분",2일,monoclonal Ab 염색(독일 Biotest사),CMV 감염의 조기진단,,"CMV Ag , CMV 항원검사",예,시행중
L51,혈청검사,L5154,CMV IgG Ab,Nonreactive (< 6.0),AU/mL,SST blood,이미지,SST blood 5mL,,(본원) 월-토,(본원) 월-금 : 16시까지 접수,토요일 : 11시까지 접수,(본원) 접수마감시간 이내 검체 : 당일 3시간 이내,접수마감시간 이후 검체 : 익일 결과 보고,CMIA,"CMV(거대세포바이러스)는 임산부의 3~9%에서 감염을 일으키며 대게 증상은 없으나 신생아, 면역부전 환자에서 간장비대, 신장비대, 반상출혈, 중추신경계 이상 등을 초래할 수 있다. CMV IgM의 경우 혈액, 장기공여, Recipient 의 CMV 감염조사, CMV 의 과거 또는 현재 감염 판단에 사용되며 Monospot-negative mononucleosis 의 감별진단에 이용할 수 있다. 급성기의 너무 이른 시기에 얻어진 혈청에선 IgG 나 IgM 이 검출되지 않을 수 있으므로 해석에 주의가 필요하다",자동화검사실(TLA연결)로 이관(2011.12.21),자동화검사실
